City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
616,Duldurga,RU,70.63,overcast clouds,50.6761,113.5931,
618,Tuni,IN,83.71,scattered clouds,17.35,82.55,
620,Komsomolskiy,UZ,77.72,broken clouds,40.4272,71.7189,
621,Banjar,ID,80.46,scattered clouds,-8.19,114.9675,
623,Itarema,BR,76.86,clear sky,-2.9248,-39.9167,
625,Shache,CN,78.06,overcast clouds,38.4167,77.2406,
626,Nantucket,US,75.31,clear sky,41.2835,-70.0995,
629,Labrea,BR,74.16,moderate rain,-7.2586,-64.7981,
631,Saraland,US,74.08,heavy intensity rain,30.8207,-88.0706,
633,Liku,ID,75.69,overcast clouds,-0.7275,119.8922,
635,Kokopo,PG,84.47,light rain,-4.352,152.2633,
636,Thinadhoo,MV,82.65,few clouds,0.5333,72.9333,
640,Portobelo,PA,81.28,overcast clouds,9.55,-79.65,
643,Houston,US,86.88,scattered clouds,29.7633,-95.3633,
646,Iberia,US,80.98,clear sky,29.9502,-91.7507,
649,Alexandria,EG,70.07,clear sky,31.2156,29.9553,
650,Alice,US,85.66,clear sky,27.7523,-98.0697,
653,Port-Gentil,GA,78.04,light rain,-0.7193,8.7815,
658,Ciudad Valles,MX,91.74,few clouds,21.9833,-99.0167,
659,Shimanovsk,RU,75.22,few clouds,52.0,127.7,
661,Pacific Grove,US,74.44,few clouds,36.6177,-121.9166,
663,Aquidauana,BR,76.57,scattered clouds,-20.4711,-55.7872,
665,Kogon,UZ,84.24,clear sky,39.7228,64.5517,
668,Cam Ranh,VN,89.56,few clouds,11.9214,109.1591,
670,Manokwari,ID,82.22,overcast clouds,-0.8667,134.0833,
671,Aksu,CN,77.54,clear sky,41.1231,80.2644,
673,Abeche,TD,85.06,broken clouds,13.8292,20.8324,
675,Hami,CN,70.43,clear sky,42.8,93.45,
678,Torrijos,ES,74.84,clear sky,39.9819,-4.2835,
679,Lamu,KE,77.49,light rain,-2.2717,40.902,
681,Manadhoo,MV,82.29,overcast clouds,5.7667,73.3833,
682,Hegang,CN,70.99,clear sky,47.4,130.3667,
683,Kununurra,AU,75.18,clear sky,-15.7667,128.7333,
691,Miguel Hidalgo,MX,74.43,overcast clouds,19.4225,-99.2028,
694,Cayenne,GF,79.09,overcast clouds,4.9333,-52.3333,
695,Marawi,PH,76.64,broken clouds,7.9986,124.2928,
697,Maraba,BR,78.64,overcast clouds,-5.3686,-49.1178,
701,Cozumel,MX,84.11,overcast clouds,20.5083,-86.9458,
702,Nuevo Progreso,MX,89.6,clear sky,23.1667,-97.95,
705,Kindia,GN,72.64,overcast clouds,10.0569,-12.8658,
